framework,control_id,control_ref,control_family,direct_finding_count,source_backed_finding_count,source_matched_finding_count,source_capability_refs,review_area_refs,outbound_relationship_refs,inbound_relationship_refs,enrichment_status,sample_direct_finding_ids,sample_source_backed_finding_ids,framework_version,framework_lifecycle,framework_authority,framework_source_type,framework_source_status,framework_source_url,framework_evidence_model
CCPA,1798.100,CCPA 1798.100,CCPA 1798 Consumer Privacy Rights,1,0,0,ai_system_register/ai_system_records [supported]; anthropic/organization_profile [supported]; archetype/library_notes [supported]; archetype/vulnerabilities [supported]; aurelius/findings [supported]; aws/access_analyzer [supported]; aws/access_key [supported]; aws/apigateway_method [supported]; aws/apigateway_rest_api [supported]; aws/appsync_graphql_api [supported]; aws/backup_vault [supported]; aws/bedrock_custom_model [supported]; aws/bedrock_provisioned_model_throughput [supported]; aws/cloudfront_distribution [supported]; aws/cloudfront_origin_access_control [supported]; aws/cloudfront_response_headers_policy [supported]; aws/codebuild_project [supported]; aws/codebuild_source_credential [supported]; aws/dynamodb_table [supported]; aws/ebs_snapshot [supported]; aws/ebs_volume [supported]; aws/ec2_ami [supported]; aws/ec2_ebs_encryption_by_default [supported]; aws/ec2_instance [supported]; aws/ecr_public_repository [supported]; aws/ecr_repository [supported]; aws/ecs_service [supported]; aws/ecs_task [supported]; aws/ecs_task_definition [supported]; aws/efs_file_system [supported]; aws/efs_mount_target [supported]; aws/eks_cluster [supported]; aws/eks_node [supported]; aws/elasticache_cluster [supported]; aws/elbv2_listener [supported]; aws/elbv2_load_balancer [supported]; aws/elbv2_target_group [supported]; aws/eventbridge_rule [supported]; aws/fargate_service [supported]; aws/guardduty_detector [supported]; aws/iam_account_password_policy [supported]; aws/iam_account_summary [supported]; aws/iam_role [supported]; aws/iam_saml_provider [supported]; aws/iam_user [supported]; aws/lambda_function [supported]; aws/opensearch_domain [supported]; aws/organizations_policy [supported]; aws/rds_db_snapshot [supported]; aws/rds_instance [supported]; aws/redshift_cluster [supported]; aws/route53_resolver_rule [supported]; aws/s3_object [partial]; aws/sagemaker_endpoint_configuration [supported]; aws/sagemaker_model [supported]; aws/sagemaker_notebook_instance [supported]; aws/sagemaker_training_job [supported]; aws/sns_topic [supported]; aws/sqs_queue [supported]; aws/ssm_document [supported]; aws/subnet [supported]; aws/support_role [supported]; aws/vpc [supported]; azure/activity_log_alert [supported]; azure/ad_authorization_policy [supported]; azure/aks_cluster [supported]; azure/app_service [supported]; azure/application [supported]; azure/application_insight [supported]; azure/cognitive_services_account [supported]; azure/cosmos_account [supported]; azure/credential [supported]; azure/database [supported]; azure/defender_config [supported]; azure/diagnostic_setting [supported]; azure/function_app [supported]; azure/group [supported]; azure/key_vault [supported]; azure/key_vault_key [supported]; azure/key_vault_secret [supported]; azure/log_alert [supported]; azure/machine_learning_workspace [supported]; azure/managed_disk [supported]; azure/network_security_group [supported]; azure/postgresql_server [supported]; azure/security_contact [supported]; azure/service_principal [supported]; azure/sql_database [supported]; azure/sql_server [supported]; azure/storage_account [supported]; azure/storage_blob [partial]; azure/storage_container [supported]; azure/subscription [supported]; azure/user [supported]; azure/virtual_machine [supported]; azure/virtual_machine_extension [supported]; cosmo/facts [supported]; cosmo/sessions [supported]; data_inventory/processing_activities [supported]; duo/groups [supported]; duo/users [supported]; gcp/aiplatform_dataset [supported]; gcp/aiplatform_endpoint [supported]; gcp/bigquery_dataset [supported]; gcp/bigquery_table [supported]; gcp/cloud_function [supported]; gcp/cloud_run_revision [supported]; gcp/cloud_run_service [supported]; gcp/cloud_sql_instance [supported]; gcp/compute_firewall [supported]; gcp/compute_instance [supported]; gcp/compute_subnetwork [supported]; gcp/container_registry [supported]; gcp/dns_managed_zone [supported]; gcp/gcs_bucket [supported]; gcp/gke_cluster [supported]; gcp/gke_node_pool [supported]; gcp/kms_key [supported]; gcp/logging_project_sink [supported]; gcp/org_policy [supported]; gcp/resourcemanager_project [supported]; gcp/secret_manager_secret [supported]; gcp/service_account [supported]; gcp/service_account_key [supported]; gcp/vpc_access_connector [supported]; github/organization_members [supported]; github/repositories [supported]; google_workspace/groups [supported]; google_workspace/users [supported]; grc/integrations [supported]; grc/people [supported]; kandji/devices [supported]; kolide/devices [supported]; microsoft_365/content_assets [partial]; microsoft_365/shared_mailboxes [supported]; microsoft_365/users [partial]; microsoft_entra_id/users [partial]; okta/api_tokens [supported]; okta/applications [supported]; okta/groups [supported]; okta/identity_providers [supported]; okta/inline_hooks [supported]; okta/network_zones [supported]; okta/threat_insight [supported]; okta/trusted_origins [supported]; openai/service_accounts [supported]; sentinelone/agents [supported]; sentinelone/exclusions [supported]; sentinelone/threats [supported]; slack/channels [supported]; slack/users [supported]; tailscale/devices [supported]; tailscale/tailnet [supported]; tailscale/users [supported]; vulnview/assets [supported]; vulnview/dns_alerts [supported]; vulnview/vulnerabilities [supported],CCPA/consumer-rights-requests; CCPA/privacy-security-breach,CCPA 1798.110 [disclosure_detail/review_hint]; CCPA 1798.130 [request_process_dependency/review_hint],,direct_control_only,compliance-data-inventory-maintained,,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
CCPA,1798.105,CCPA 1798.105,CCPA 1798 Consumer Privacy Rights,1,0,0,privacy_request_system/rights_requests [supported],CCPA/consumer-rights-requests,,,direct_control_only,ai-data-retention-reviewed,,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
CCPA,1798.106,CCPA 1798.106,CCPA 1798 Consumer Privacy Rights,0,0,0,privacy_request_system/rights_requests [supported],CCPA/consumer-rights-requests,,,source_capability_only,,,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
CCPA,1798.110,CCPA 1798.110,CCPA 1798 Consumer Privacy Rights,0,0,0,data_inventory/processing_activities [supported],CCPA/consumer-rights-requests,,CCPA 1798.100 [disclosure_detail/review_hint],source_capability_only,,,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
CCPA,1798.115,CCPA 1798.115,CCPA 1798 Consumer Privacy Rights,0,0,0,data_inventory/processing_activities [supported],CCPA/consumer-rights-requests,,,source_capability_only,,,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
CCPA,1798.120,CCPA 1798.120,CCPA 1798 Consumer Privacy Rights,0,0,0,consent_preference_platform/consent_preferences [supported]; privacy_request_system/rights_requests [supported],CCPA/consumer-rights-requests,CCPA 1798.125 [non_retaliation_dependency/review_hint]; CCPA 1798.135 [opt_out_mechanism_dependency/review_hint],,source_capability_only,,,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
CCPA,1798.121,CCPA 1798.121,CCPA 1798 Consumer Privacy Rights,0,0,0,consent_preference_platform/consent_preferences [supported]; privacy_request_system/rights_requests [supported],CCPA/consumer-rights-requests,,,source_capability_only,,,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
CCPA,1798.125,CCPA 1798.125,CCPA 1798 Consumer Privacy Rights,0,0,0,privacy_request_system/rights_requests [supported],CCPA/consumer-rights-requests,,CCPA 1798.120 [non_retaliation_dependency/review_hint],source_capability_only,,,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
CCPA,1798.130,CCPA 1798.130,CCPA 1798 Consumer Privacy Rights,1,0,0,ai_deployer_review/ai_deployer_obligations [supported]; ai_evaluation_store/ai_risk_evaluations [supported]; ai_system_register/ai_system_records [supported]; aws/bedrock_provisioned_model_throughput [supported]; consent_preference_platform/consent_preferences [supported]; data_inventory/processing_activities [supported]; grc/control_tests [supported]; grc/controls [supported]; hipaa_risk_assessment/safeguard_risk_records [supported]; hris_system/employee_lifecycle [supported]; hris_system/organization_assignments [supported]; microsoft_365/purview_dlp_policies [supported]; microsoft_365/purview_retention_policies [supported]; privacy_request_system/rights_requests [supported],CCPA/consumer-rights-requests; CCPA/privacy-security-breach,,CCPA 1798.100 [request_process_dependency/review_hint],direct_control_only,compliance-data-inventory-maintained,,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
CCPA,1798.135,CCPA 1798.135,CCPA 1798 Consumer Privacy Rights,0,0,0,consent_preference_platform/consent_preferences [supported],CCPA/consumer-rights-requests,,CCPA 1798.120 [opt_out_mechanism_dependency/review_hint],source_capability_only,,,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
